label,num_solapamientos,solapa
adnxs.com,5,si
app-analytics-services.com,5,si
xiaomi.com,5,si
unity3d.com,5,si
googleadservices.com,5,si
googleusercontent.com,5,si
googletagmanager.com,5,si
googleapis.com,5,si
forms.gle,5,si
appsflyersdk.com,5,si
app-measurement.com,5,si
tiktokv.com,5,si
t.co,1,si
europa.eu,1,si
googlevideo.com,1,si
nist.gov,1,si
goo.gl,1,si
googlesyndication.com,1,si
baidu.com,1,si
twitter.com,1,si
adobe.com,0,no
amazonvideo.com,0,no
amazon.com,0,no
aliyuncs.com,0,no
amazon-adsystem.com,0,no
adriver.ru,0,no
adobe.io,0,no
apache.org,0,no
android.com,0,no
criteo.com,0,no
cnn.com,0,no
doubleclick.net,0,no
dropbox.com,0,no
dzen.ru,0,no
discord.gg,0,no
epicgames.com,0,no
blogspot.com,0,no
dns.google,0,no
digicert.com,0,no
bit.ly,0,no
archive.org,0,no
applovin.com,0,no
apple.com,0,no
github.com,0,no
gandi.net,0,no
forbes.com,0,no
flickr.com,0,no
fastly.net,0,no
fbcdn.net,0,no
facebook.com,0,no
github.io,0,no
googledomains.com,0,no
google.com,0,no
gmail.com,0,no
google-analytics.com,0,no
gravatar.com,0,no
gstatic.com,0,no
health.mil,0,no
icloud.com,0,no
instagram.com,0,no
intuit.com,0,no
ivi.ru,0,no
kaspersky.com,0,no
lencr.org,0,no
linkedin.com,0,no
linkos.bg,0,no
live.com,0,no
mail.ru,0,no
medium.com,0,no
casalemedia.com,0,no
cloudflare-dns.com,0,no
cloudflare.com,0,no
cloudflare.net,0,no
azure.com,0,no
bing.com,0,no
mts.ru,0,no
msn.com,0,no
mozilla.org,0,no
miui.com,0,no
microsoft.com,0,no
meraki.com,0,no
nginx.com,0,no
myfritz.net,0,no
nytimes.com,0,no
office.com,0,no
office365.com,0,no
okcdn.ru,0,no
nginx.org,0,no
nic.ru,0,no
nih.gov,0,no
netflix.com,0,no
paypal.com,0,no
pinterest.com,0,no
qq.com,0,no
pki.goog,0,no
roblox.com,0,no
rubiconproject.com,0,no
samsung.com,0,no
reddit.com,0,no
sciencedirect.com,0,no
sentry.io,0,no
skype.com,0,no
sharepoint.com,0,no
one.one,0,no
opera.com,0,no
outlook.com,0,no
ntp.org,0,no
t-online.de,0,no
spotify.com,0,no
soundcloud.com,0,no
snapchat.com,0,no
theguardian.com,0,no
tiktok.com,0,no
telekom.net,0,no
t.me,0,no
tumblr.com,0,no
trbcdn.net,0,no
ui.com,0,no
userapi.com,0,no
vimeo.com,0,no
vk.com,0,no
w3.org,0,no
telekom.de,0,no
whatsapp.com,0,no
whatsapp.net,0,no
wildberries.ru,0,no
wikipedia.org,0,no
windows.net,0,no
wordpress.com,0,no
wordpress.org,0,no
windows.com,0,no
workers.dev,0,no
x.com,0,no
yahoo.com,0,no
yandex.net,0,no
yandex.ru,0,no
youtu.be,0,no
youtube.com,0,no
zoom.us,0,no
